Pref Label	FOR ID	Initial IRI	Initial IRI values	Final IRI	#	PrefLabel	"	Broader
Policy and Administration	4407	geo-for:policy-and-administration	geo-for:policy-and-administration	for:4407	#	Policy And Administration	"
BIOLOGICAL SCIENCES	31	geo-for:biological-sciences	geo-for:biological-sciences	for:31	#	Biological Sciences	"
Ecology	3103	geo-for:ecology	geo-for:ecology	for:3103	#	Ecology	"	for:31
BUILT ENVIRONMENT AND DESIGN	33	geo-for:built-environment-and-design	geo-for:built-environment-and-design	for:33	#	Built Environment And Design	"
Urban and Regional Planning 	3304	geo-for:urban-and-regional-planning-	geo-for:urban-and-regional-planning-	for:3304	#	Urban And Regional Planning	"	for:33
Land Use and Environmental Planning 	330404	geo-for:land-use-and-environmental-planning-	geo-for:land-use-and-environmental-planning-	for:330404	#	Land Use And Environmental Planning	"	for:3304
EARTH SCIENCES	37	geo-for:earth-sciences	geo-for:earth-sciences	for:37	#	Earth Sciences	"
Atmospheric Sciences	3701	geo-for:atmospheric-sciences	geo-for:atmospheric-sciences	for:3701	#	Atmospheric Sciences	"	for:37
Geochemistry	3703	geo-for:geochemistry	geo-for:geochemistry	for:3703	#	Geochemistry	"	for:37
Exploration Geochemistry	370301	geo-for:exploration-geochemistry	geo-for:exploration-geochemistry	for:370301	#	Exploration Geochemistry	"	for:3703
Biogeochemistry		geo-for:biogeochemistry	geo-for:biogeochemistry	geo-for:biogeochemistry	#	Biogeochemistry	"	for:3703
Hydrogeochemistry		geo-for:hydrogeochemistry	geo-for:hydrogeochemistry	geo-for:hydrogeochemistry	#	Hydrogeochemistry	"	for:3703
Inorganic Geochemistry	370302	geo-for:inorganic-geochemistry	geo-for:inorganic-geochemistry	for:370302	#	Inorganic Geochemistry	"	for:3703
Lithogeochemistry		geo-for:lithogeochemistry	geo-for:lithogeochemistry	geo-for:lithogeochemistry	#	Lithogeochemistry	"	for:370302
Isotope Geochemistry	370303	geo-for:isotope-geochemistry	geo-for:isotope-geochemistry	for:370303	#	Isotope Geochemistry	"	for:3703
Organic Geochemistry	370304	geo-for:organic-geochemistry	geo-for:organic-geochemistry	for:370304	#	Organic Geochemistry	"	for:3703
Geology	3705	geo-for:geology	geo-for:geology	for:3705	#	Geology	"	for:37
Basement Geology		geo-for:basement-geology	geo-for:basement-geology	geo-for:basement-geology	#	Basement Geology	"	for:3705
Basin Analysis		geo-for:basin-analysis	geo-for:basin-analysis	geo-for:basin-analysis	#	Basin Analysis	"	for:3705
Biogeology		geo-for:biogeology	geo-for:biogeology	geo-for:biogeology	#	Biogeology	"	for:3705
Carbon Capture and Storage		geo-for:carbon-capture-and-storage	geo-for:carbon-capture-and-storage	geo-for:carbon-capture-and-storage	#	Carbon Capture And Storage	"	for:3705
